userid	cond	rnd	qnum	store1a	store1b	store1c	store1d	store2a	store2b	store2c	store2d	store3a	store3b	store3c	store3d	store4a	store4b	store4c	store4d	tlag	tlog	cor	choice
11	2	1	1	104.24	52.5	93.96	60.55	111.58	59.33	100.18	67.9	104.2	50.96	97	67.98	112.54	45.25	98.92	65.16	94	4.543294782	1	1
11	2	1	2	49.52	36.65	21.52	78.48	45.6	33.74	16.8	78.96	56.99	39.88	14.74	74.67	46.68	41.96	27.39	74.06	309	5.733341277	0	3
11	2	1	3	74.6	39.18	90.7	52.83	75.34	43.81	84.46	45.35	75.69	46.25	89.73	52.64	80.21	47.45	85.11	52.21	198	5.288267031	0	1
11	2	1	4	101.78	71.38	102.38	95.18	105.74	70.59	107.96	79.66	94.39	73.4	107.17	87.99	94.87	69.82	106.16	81.73	432	6.068425588	0	1
11	2	1	5	98.79	61.11	17.45	77.57	102.41	52.95	17.31	76.21	99.1	63.71	18.69	79.79	101.55	57.47	18.33	78.96	215	5.370638028	1	2
11	2	1	6	104.98	53.7	115.41	45.91	103.86	38.48	122.41	44.42	109.96	49.54	117.11	43.5	112.53	40.01	117.82	47.87	298	5.697093487	0	4
11	2	1	7	56.52	17.88	72.12	38.46	58.64	19.44	82.76	37.3	58.41	19.16	76.06	39.39	48.64	24.25	78.89	48.49	155	5.043425117	0	3
11	2	1	8	108.57	36.76	34.49	59.22	107.55	43.7	42.15	54.89	109.39	47.71	44.71	66	111.48	45.07	38.62	60.39	223	5.407171772	0	2
11	2	1	9	32.46	33.72	100.1	46.4	30.81	30.65	108.31	52.65	28.53	33.1	97.45	48.58	34.54	31.41	110.52	41.06	189	5.241747015	0	4
11	2	1	10	37.92	43.39	101.97	65.84	30.3	42.2	97.64	64.95	34.32	47	98.56	72.48	35.46	37.2	99.28	69.41	222	5.402677382	1	2
11	2	1	11	70.21	117.57	78.18	109.46	56.66	118.64	74.89	113.45	65.31	110.72	71.92	101.67	63.2	117.26	70.4	104.13	210	5.347107531	1	3
11	2	1	12	44.35	86.14	48.61	58.69	41.56	79.64	47.8	60.62	52.3	86.19	45.68	62.1	50.19	78.31	34.94	57.21	197	5.283203729	0	2
11	2	1	13	102.3	63.05	44.6	62.91	104.84	70.15	46.85	58.1	105.53	61.88	41.96	60.19	97.55	64.81	37.16	62.33	186	5.225746674	0	2
11	2	1	14	105.13	87.22	113.63	42.88	106.71	81.37	109.94	50.16	106.85	83.74	111.53	56.23	103.28	79.99	105.2	48.29	170	5.135798437	0	2
11	2	1	15	50.21	28.48	69.03	49.19	54.95	26.63	72.02	52.16	54.92	21.15	61.49	52.84	59.43	21.74	60.83	57.48	219	5.38907173	0	1
11	2	1	16	73.43	38.52	104.67	105.7	77.07	42.41	109.84	93.97	67.41	37.82	100	108.4	74.3	43.53	104.07	99.3	472	6.156978986	0	1
11	2	1	17	36.35	86.84	74.61	37.95	37.53	94.2	81.61	48.41	38.15	87.78	75.89	45.5	39.63	100.41	82.91	38.6	221	5.398162702	0	4
11	2	1	18	38.4	41.65	107.82	96.63	39.89	47.48	101.71	104.67	39.35	46.26	103.42	104.35	34.77	39.89	110.01	109.12	197	5.283203729	0	3
11	2	1	19	24.07	105.84	27.86	106.01	24.05	103.66	30.32	96.79	18.8	95.69	31.94	101.25	17.88	97.89	36.33	101.9	175	5.164785974	0	2
11	2	1	20	55.1	27.89	47.59	107.35	54.38	20.99	44.19	107.05	54.01	26.59	52.57	102	58.12	29.72	55.91	108.78	254	5.537334267	1	2
11	2	1	21	87.66	57.83	58.8	17.38	86.93	60.52	56.26	24.44	89.43	63.52	57.9	20.35	82.84	55.94	55.46	20.76	269	5.59471138	0	3
